,id,user,text,datetime,time,replies,retweets,likes,bookmarks,views,query,candidate,date,hour,date_only,sentiment
0,1905757696068112824,Felicidade Vital,"Hoje, durante a tarde,  acompanhamos o nosso presidente André Ventura, pelas ruas da Amadora, é junto das populações que identificamos os seus verdadeiros problemas.
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-03-28 23:03:36+00:00,28 de mar,0,0,0,0,13,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-28,23:03:36,2025-03-28,neutral
1,1905740752933855315,Pedro Pinto,"Existe futuro em Portugal! 
#chega
#salvarportugal
#andreventura",2025-03-28 21:56:17+00:00,28 de mar,35,8,100,0,3160,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-28,21:56:17,2025-03-28,positive
2,1905533171804049796,Felicidade Vital,"Ontem estivemos no mercado de Benfica a distribuir o Folha Nacional e a contactar com as populações.
A receção das pessoas é fantástica porque voltaram a ter esperança .
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-03-28 08:11:25+00:00,28 de mar,0,0,0,0,28,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-28,08:11:25,2025-03-28,positive
3,1905344402299515176,Felicidade Vital,"Hoje, durante a tarde,  acompanhamos o nosso presidente André Ventura, pelas ruas da Amadora, é junto das populações que identificamos os seus verdadeiros problemas.
#CHEGA
#acordaportugal
#partidochega
#andreventura
#SomosAlternativa
#legislativas2025",2025-03-27 19:41:19+00:00,27 de mar,0,0,0,0,20,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-27,19:41:19,2025-03-27,neutral
4,1904984014177312894,Maria Odete Madeira,"Exactamente, e #PedroNunoSantos #PS jogou mal, por oportunismo ou leitura política pouco reflectida foi apanhado pela teia de #LuísMontenegro #PSD, acabando por dar uma ajuda ao #Chega/#AndréVentura com consequências de ""enfraquecimento"" político antecipável. Lamentatio!",2025-03-26 19:49:16+00:00,26 de mar,0,1,0,0,60,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-26,19:49:16,2025-03-26,negative
5,1904309488062025863,Filipe Melo,"Senhor (ainda) Primeiro Ministro, Dr Luís Montenegro:
Dedico-lhe esta publicação e este outdoor, para que assim possa processar-me também, e aos muitos milhares de portugueses que partilharão, porque concordam com o outdoor e não consigo.
#andreventura #chega #salvarportugal",2025-03-24 23:08:56+00:00,24 de mar,148,100,465,0,28981,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,23:08:56,2025-03-24,positive
6,1904294317163987141,Vanessa Barata,"O PSD e Luis Montenegro estão muito ofendidos com o cartaz do CHEGA que até decidiram processar o partido.
E deste cartaz da JSD com o ""Pinócrates"", quem se lembra? Também saiu processo?
#partidochega #chega #andreventura #luismontenegro #socrates #psd #ps #jsd #portugal",2025-03-24 22:08:39+00:00,24 de mar,0,0,2,0,111,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,22:08:39,2025-03-24,negative
7,1904279357209604189,Maria Odete Madeira,"Repare-se que, no cartaz, #AndréVentura posiciona-se num plano de transcendência tipo ditador punitivo colocando os dedos a apontarem para a #Democracia e para #LuísMontenegro, curioso que não tenha apontado para Sócrates, a questão alvo de #AndréVentura é as próximas eleições.",2025-03-24 21:09:13+00:00,24 de mar,0,1,0,0,39,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,21:09:13,2025-03-24,negative
8,1904260332488413360,C. Pedro Gonçalves,"#Chega/#AndréVentura é um nó de uma teia global híbrida de #ExtremaDireita c/ ADN #NaziSoviético, de sublinhar como Musk defendeu Hitler, Stalin e Mao https://nytimes.com/2025/03/14/technology/elon-musk-x-post-hitler-stalin-mao.html…. Objectivo: fim da #Democracia. A #DireitaDemocrática é mais um alvo a ser disruptado por este projecto.",2025-03-24 19:53:37+00:00,24 de mar,0,2,0,0,106,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:53:37,2025-03-24,negative
9,1904255788895596842,Maria Odete Madeira,"""acusou o primeiro-ministro de conviver mal com a democracia"" #AndréVentura a evocar a #Democracia é como #Satanás a evocar #Deus..., e assim o satanismo do #Chega/#AndréVentura vai passando e espalhando as sementes #nazis... https://msn.com/pt-pt/noticias/portugal/chega-recusa-retirar-cartazes-ap%C3%B3s-provid%C3%AAncia-cautelar-de-montenegro/ar-AA1Bz6GU?ocid=socialshare…",2025-03-24 19:35:34+00:00,24 de mar,0,1,0,0,47,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:35:34,2025-03-24,negative
10,1904251129732465151,Maria Odete Madeira,Montenegro processa Chega e pede a tribunal retirada urgente de todos os cartazes que o associam a José Sócrates https://msn.com/pt-pt/noticias/other/montenegro-processa-chega-e-pede-a-tribunal-retirada-urgente-de-todos-os-cartazes-que-o-associam-a-jos%C3%A9-s%C3%B3crates/ar-AA1Bz0Em?ocid=socialshare…… O alvo do Chega é a Democracia. #LuisMontenegro #PSD processa o #Chega/#AndréVentura?! Óptimo! Esperemos que materialize a intenção!,2025-03-24 19:17:03+00:00,24 de mar,0,1,0,0,61,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:17:03,2025-03-24,negative
11,1904248400142274883,Maria Odete Madeira,#LuísMontenegro processa Chega por cartazes que o associam a Sócrates https://zap.aeiou.pt/montenegro-processa-chega-667442… Há uma espécie de consenso de menorização do #Chega/#AndréVentura entre alguns políticos e jornalistas que o Chega aproveita para espalhar verborreia #Nazi o foco do Chega é a democracia,2025-03-24 19:06:12+00:00,24 de mar,0,2,0,0,127,#AndréVentura since:2025-03-22 until:2025-03-29 lang:pt,André Ventura,2025-03-24,19:06:12,2025-03-24,neutral
